id;tenant_id;dashboard_uuid;file_name;cloud_type;element_type;element_sub_type;input_type;dashboard_nature;status;created_on;updated_on;updated_by;created_by
1;Customer Incredible;Tasty Barbados Dollar;port Home Bedfordshire;real-time;eyeballs Principal;withdrawal;Auto Loan Account bandwidth;next-generation Orchard;infomediaries Frozen Technician;2021-06-19T22:43:19;2021-06-20T07:13:13;Optimization Digitized;Minnesota synergies
2;TCP;driver;Personal Loan Account port;Run Pennsylvania New Taiwan Dollar;Buckinghamshire didactic dynamic;best-of-breed Factors card;Shirt Locks enhance;Kwanza protocol;mobile;2021-06-20T00:50:47;2021-06-19T20:50:44;magnetic;bypassing redundant deposit
3;mint green real-time Executive;system Agent mobile;Greenland Cambridgeshire;Indiana Borders;invoice;Practical Granite Table Home;contextually-based Orchestrator;Home Loan Account dot-com clicks-and-mortar;Knoll;2021-06-20T04:18:22;2021-06-20T10:19:36;Macedonia Andorra;Run
4;utilize;executive;modular;metrics Table Shoes;Shoes;Universal;SQL;channels Sports;Rubber back-end Manager;2021-06-19T20:15:46;2021-06-20T04:57:40;Fantastic project Pike;Nepalese Rupee 6th generation
5;Program Rhode Island auxiliary;XML;payment bandwidth;cultivate backing up;virtual Fish;Kansas Persistent access;enhance;neural;user-facing Solomon Islands Dollar iterate;2021-06-20T15:29:28;2021-06-20T15:57:24;Refined Plastic Pizza generating;streamline systemic Borders
6;green markets SDD;viral Personal Loan Account;seize;Uruguay Money Market Account;Concrete haptic;IB Unbranded Steel Ball open architecture;Analyst;Technician;invoice copying hardware;2021-06-20T11:23:41;2021-06-20T02:55:06;Sleek quantifying;invoice Investment Account
7;Steel redundant;online;CSS Rustic Frozen Mouse calculating;Auto Loan Account Gorgeous withdrawal;Naira white Dynamic;connecting;Accountability Virginia;Automotive;Diverse portal;2021-06-19T22:07:33;2021-06-20T16:05:34;Brazilian Real real-time primary;Fantastic Fresh Chicken
8;Borders front-end;e-enable copying;modular override;Dam Ridges Home Loan Account;wireless Suriname;bypass Liaison;scalable transmit;Kids aggregate feed;Jordanian Dinar;2021-06-20T05:03:19;2021-06-20T08:42:45;Web architect access;Personal Loan Account Senior synthesize
9;input Fiji Chips;Borders;Handmade mint green;capacitor Sleek auxiliary;Home Loan Account Tonga Communications;groupware harness;calculate Future;Meadow Mountain Reactive;Cross-platform grid-enabled;2021-06-20T05:43:46;2021-06-20T02:37:33;Pants Advanced;Data
10;Intelligent Fresh Towels transmitter;Automotive Small intermediate;holistic;Keyboard Cambridgeshire;Handcrafted networks;Mandatory payment;programming;Movies Computers;Up-sized static;2021-06-20T02:04:47;2021-06-20T06:48:42;haptic explicit Kuwait;Gorgeous Rubber Soap
